epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,9054.88,0.46791,0.35447,0.94412,0.98486,0.97319,0.99046,0.93044,0.30132,0.21895,0.81398,0.0002476,0.0002476,0.0002476
78,9161.11,0.4726,0.34981,0.93434,0.98857,0.968,0.99009,0.93002,0.29941,0.21579,0.81114,0.0002377,0.0002377,0.0002377
79,9267.07,0.46578,0.34851,0.94115,0.98427,0.97709,0.99092,0.93257,0.29222,0.21395,0.80852,0.0002278,0.0002278,0.0002278
80,9373.89,0.4581,0.34597,0.93423,0.98303,0.97285,0.98945,0.92985,0.29646,0.2158,0.80894,0.0002179,0.0002179,0.0002179
81,9477.44,0.46109,0.34213,0.93447,0.9839,0.97285,0.99007,0.93296,0.29696,0.21543,0.81066,0.000208,0.000208,0.000208
82,9590.85,0.46839,0.34225,0.93513,0.98445,0.9721,0.99096,0.93477,0.29228,0.21085,0.80661,0.0001981,0.0001981,0.0001981
83,9695.56,0.45903,0.33946,0.9265,0.98987,0.97373,0.9909,0.93549,0.28864,0.20887,0.80707,0.0001882,0.0001882,0.0001882
84,9814,0.46101,0.3414,0.93287,0.98408,0.97532,0.99023,0.93373,0.28879,0.20974,0.80484,0.0001783,0.0001783,0.0001783
85,9931.22,0.45249,0.33311,0.9276,0.99077,0.9728,0.99145,0.93388,0.28799,0.2099,0.80625,0.0001684,0.0001684,0.0001684
86,10056.4,0.44807,0.33203,0.92398,0.9852,0.97223,0.99096,0.9357,0.2864,0.20869,0.8032,0.0001585,0.0001585,0.0001585
87,10175.1,0.45755,0.3326,0.92946,0.98594,0.9785,0.99137,0.93558,0.2861,0.20799,0.8059,0.0001486,0.0001486,0.0001486
88,10294.3,0.4467,0.32985,0.93082,0.98683,0.97584,0.99173,0.93751,0.28128,0.20352,0.80215,0.0001387,0.0001387,0.0001387
89,10413.3,0.44142,0.32167,0.9254,0.98476,0.97843,0.9911,0.93899,0.27989,0.20356,0.80206,0.0001288,0.0001288,0.0001288
90,10532,0.44567,0.32668,0.92668,0.98647,0.97327,0.99136,0.93638,0.28126,0.20276,0.80205,0.0001189,0.0001189,0.0001189
91,10648.9,0.35857,0.25423,0.87457,0.9846,0.97894,0.99134,0.9364,0.28537,0.20509,0.8041,0.000109,0.000109,0.000109
92,10763.4,0.35236,0.25075,0.87413,0.987,0.97635,0.99075,0.93622,0.28021,0.20129,0.80302,9.91e-05,9.91e-05,9.91e-05
93,10879,0.34545,0.24308,0.87455,0.98201,0.98071,0.99121,0.93783,0.27712,0.19995,0.80095,8.92e-05,8.92e-05,8.92e-05
94,10993.9,0.34614,0.24247,0.87111,0.9881,0.97688,0.99152,0.93708,0.27508,0.19814,0.79929,7.93e-05,7.93e-05,7.93e-05
95,11111.5,0.33288,0.24042,0.86884,0.98748,0.9792,0.99093,0.93902,0.2757,0.19719,0.79893,6.94e-05,6.94e-05,6.94e-05
96,11225.1,0.34032,0.24041,0.86504,0.99119,0.9766,0.99143,0.93917,0.2726,0.19474,0.79719,5.95e-05,5.95e-05,5.95e-05
97,11331.1,0.33545,0.24,0.86944,0.99017,0.97908,0.99128,0.93776,0.2732,0.19677,0.79956,4.96e-05,4.96e-05,4.96e-05
98,11447,0.33414,0.2351,0.86923,0.98708,0.98024,0.99143,0.93975,0.26916,0.19412,0.79614,3.97e-05,3.97e-05,3.97e-05
99,11565,0.33299,0.23672,0.86886,0.99358,0.97714,0.99195,0.94014,0.2693,0.19332,0.79613,2.98e-05,2.98e-05,2.98e-05
100,11683.8,0.32864,0.23326,0.86404,0.9913,0.9761,0.99153,0.93856,0.26982,0.19374,0.797,1.99e-05,1.99e-05,1.99e-05
